City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
100,Lata,PT,59.47,overcast clouds,40.1629,-8.3327,Casa Maquia
103,Domoni,KM,80.15,light rain,-12.2569,44.5319,Al Djadid
105,Ilulissat,GL,34.92,clear sky,69.2167,-51.1,Hotel Arctic
108,Pitimbu,BR,86.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
109,Hermanus,ZA,63.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
110,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
111,Laguna,US,58.14,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
112,Nishihara,JP,65.48,mist,26.1842,127.7558,Minshuku Agaihama
113,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
114,Hithadhoo,MV,81.7,broken clouds,-0.6,73.0833,Scoop Guest House
115,Isabela,PH,78.85,overcast clouds,6.7085,121.9711,Isawad Resort
116,New Norfolk,AU,56.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
117,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
118,Barinitas,VE,88.38,overcast clouds,8.7622,-70.4111,Rapsodia EcoTours
119,Yei,SS,72.07,overcast clouds,4.095,30.6779,City Link Hotel
120,Guerrero Negro,MX,69.24,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
123,Hilo,US,76.62,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
124,Codrington,AU,60.04,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
125,Eureka,US,58.68,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
127,Van,TR,36.75,few clouds,38.4924,43.3831,Elite World Van Hotel
128,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
129,Antalaha,MG,75.2,broken clouds,-14.9003,50.2788,Hotel Vitasoa
130,Ternate,ID,80.08,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
131,Saint-Francois,FR,58.44,clear sky,46.4154,3.9054,Manoir Du Bonheur
132,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
134,Channel-Port Aux Basques,CA,36.81,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
